algorithm,input_size,threshold,repeats,time_seconds_median,time_seconds_mean,time_seconds_min,time_seconds_max,memory_kb_peak_median,distance_computations,distance,pair_1,pair_2
Brute Force,100,0,5,0.0005283000064082444,0.0005283599981339649,0.0005196999991312623,0.000541799992788583,0.1796875,4950,0.5851752927016345,Ganges Seaplane Base,Vancouver Harbour Water Aerodrome
Divide and Conquer,100,0,5,0.0002201000024797395,0.00023090000031515955,0.0001990000018849969,0.00027709999994840473,7.21875,117,0.5851752927016345,Ganges Seaplane Base,Vancouver Harbour Water Aerodrome
Hybrid,100,8,5,0.0002693999995244667,0.0002563200017903,0.00020340000628493726,0.0003183999942848459,7.21875,269,0.5851752927016345,Ganges Seaplane Base,Vancouver Harbour Water Aerodrome
Brute Force,250,0,5,0.004584700000123121,0.004556780002894811,0.003869100008159876,0.005296300005284138,0.203125,31125,0.19247942616436517,Woodbourne Airport,Picton Aerodrome
Divide and Conquer,250,0,5,0.0006939999875612557,0.0007184599991887808,0.0006178000039653853,0.0008317000028910115,20.0859375,279,0.19247942616436517,Woodbourne Airport,Picton Aerodrome
Hybrid,250,8,5,0.0006889000069350004,0.0007002400001510978,0.000541499990504235,0.0008707999950274825,20.0859375,880,0.19247942616436517,Woodbourne Airport,Picton Aerodrome
Brute Force,500,0,5,0.015353499999037012,0.015637280000373722,0.014301400005933829,0.016963200003374368,0.1796875,124750,0.12421192764205395,Vancouver Harbour Water Aerodrome,Vancouver International Airport
Divide and Conquer,500,0,5,0.0023387000110233203,0.0022106400050688536,0.001676600004429929,0.0024507000052835792,32.1875,553,0.12421192764205395,Vancouver International Airport,Vancouver Harbour Water Aerodrome
Hybrid,500,8,5,0.001065600008587353,0.0011097800044808537,0.0010452999995322898,0.0012818000104743987,32.1875,1753,0.12421192764205395,Vancouver International Airport,Vancouver Harbour Water Aerodrome
Brute Force,1000,0,5,0.06091980000201147,0.06158417999977246,0.058884300000499934,0.0654796000017086,0.1796875,499500,0.009447388131393019,Helisul I Heliport,Cataratas International Airport
Divide and Conquer,1000,0,5,0.0035943999973824248,0.0035716199985472486,0.0033380000095348805,0.0036748999991687015,79.5078125,1108,0.009447388131393019,Helisul I Heliport,Cataratas International Airport
Hybrid,1000,8,5,0.002606500012916513,0.0028739400033373384,0.0025369000068167225,0.00399729999480769,79.5078125,3509,0.009447388131393019,Helisul I Heliport,Cataratas International Airport
Brute Force,2000,0,5,0.2565348000061931,0.2549628399981884,0.24226299999281764,0.26420809999399353,0.1796875,1999000,0.009447388131393019,Helisul I Heliport,Cataratas International Airport
Divide and Conquer,2000,0,5,0.007865300009143539,0.008605400004307739,0.007665500001166947,0.01177280000410974,128.046875,2251,0.009447388131393019,Helisul I Heliport,Cataratas International Airport
Hybrid,2000,8,5,0.00620419999177102,0.007275719995959662,0.005893099994864315,0.009722899994812906,128.046875,7053,0.009447388131393019,Helisul I Heliport,Cataratas International Airport
Brute Force,5000,0,5,1.6660890000057407,1.6518047599995043,1.5990529999980936,1.67248280000058,0.1796875,12497500,0.008958121682535835,Vancouver Harbour Water Aerodrome,Harbour (Public) Heliport
Divide and Conquer,5000,0,5,0.019568499992601573,0.01984396000043489,0.018637900007888675,0.021880400003283285,493.03125,6321,0.008958121682535835,Vancouver Harbour Water Aerodrome,Harbour (Public) Heliport
Hybrid,5000,8,5,0.01722910000535194,0.01729590000177268,0.016879599992535077,0.017720500007271767,493.03125,10885,0.008958121682535835,Harbour (Public) Heliport,Vancouver Harbour Water Aerodrome
Brute Force,7500,0,5,3.242632699999376,3.3034410399995977,3.200759100000141,3.5841880999942077,0.1796875,28121250,0.001242359448800105,Shute Harbour Airport,Whitsunday Island Airport
Divide and Conquer,7500,0,5,0.032881400009500794,0.03427852000168059,0.030470400000922382,0.04242399999930058,722.53125,9002,0.001242359448800105,Shute Harbour Airport,Whitsunday Island Airport
Hybrid,7500,8,5,0.025701700011268258,0.026728180001373402,0.024696500011486933,0.03016919999208767,722.53125,24887,0.001242359448800105,Shute Harbour Airport,Whitsunday Island Airport
