threshold,sizes_tested,median_time_seconds_across_sizes,mean_time_seconds_across_sizes,median_distance_computations
2,1000;2000;5000,0.017594499993720092,0.013830133325730761,3226.6666666666665
4,1000;2000;5000,0.007886999999755062,0.010992833330722837,3958.6666666666665
8,1000;2000;5000,0.005642999996780418,0.008302533334547965,7149.0
12,1000;2000;5000,0.005677900000591762,0.00825566666511198,10988.0
16,1000;2000;5000,0.005914500012295321,0.00842660000489559,14810.0
20,1000;2000;5000,0.005846400003065355,0.012339666670110697,22834.333333333332
24,1000;2000;5000,0.006171399989398196,0.00863566666278833,22834.333333333332
28,1000;2000;5000,0.00587830001313705,0.008706033336541926,22834.333333333332
32,1000;2000;5000,0.007080199997290038,0.009301133332580017,30621.666666666668
40,1000;2000;5000,0.0069561999989673495,0.010465133333733926,46859.0
48,1000;2000;5000,0.0075862000085180625,0.011196266665744284,46859.0
64,1000;2000;5000,0.010446799991768785,0.012550799995854808,62481.666666666664
